"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.16750608515E-002, -3.74395191097E-003
+3.00100050025E+005, +2.17302143618E-004, +3.20768817028E-004
+5.50200100050E+005, +4.54861438411E-004, +1.28604629097E-003
+8.00300150075E+005, +4.62960894656E-004, +1.36300524704E-003
+1.05040020010E+006, +4.00201314220E-004, +1.41581488571E-003
+1.30050025013E+006, +2.06504324172E-004, +2.74094003573E-003
+1.55060030015E+006, +4.20760294845E-004, +3.09786399540E-003
+1.80070035018E+006, +7.84737880585E-005, +3.66770494473E-003
+2.05080040020E+006, +8.95537094376E-004, +4.03766782082E-003
+2.30090045023E+006, +3.22104123572E-004, +4.42685620071E-003
+2.55100050025E+006, +9.62437970544E-004, +5.18580247394E-003
+2.80110055028E+006, +7.37990647518E-004, +5.76622204451E-003
+3.05120060030E+006, +1.04998579188E-003, +6.19643147600E-003
+3.30130065033E+006, +1.05488570073E-003, +6.34973863557E-003
+3.55140070035E+006, +1.38504299142E-003, +6.74127566375E-003
+3.80150075038E+006, +1.26695099169E-003, +7.50553296017E-003
+4.05160080040E+006, +1.54873752248E-003, +8.00688283321E-003
+4.30170085043E+006, +1.94738671650E-003, +8.48633304986E-003
+4.55180090045E+006, +1.92149315205E-003, +9.08775068118E-003
+4.80190095048E+006, +2.34116397469E-003, +9.29148991164E-003
+5.05200100050E+006, +2.53999226047E-003, +9.73920889546E-003
+5.30210105053E+006, +3.04916663845E-003, +9.41669995151E-003
+5.55220110055E+006, +3.19579512819E-003, +1.08886281390E-002
+5.80230115058E+006, +3.53229572047E-003, +1.11610897213E-002
+6.05240120060E+006, +3.55133269426E-003, +1.16727150101E-002
+6.30250125063E+006, +3.49455619773E-003, +1.25543569505E-002
+6.55260130065E+006, +4.04225607404E-003, +1.27264617267E-002
+6.80270135068E+006, +4.25834562330E-003, +1.30243905596E-002
+7.05280140070E+006, +4.25364423613E-003, +1.35772551601E-002
+7.30290145073E+006, +5.29330540292E-003, +1.41629269657E-002
+7.55300150075E+006, +5.22486142010E-003, +1.47912018567E-002
+7.80310155078E+006, +5.69197123593E-003, +1.48621981565E-002
+8.05320160080E+006, +6.09955534132E-003, +1.50141294062E-002
+8.30330165083E+006, +6.38416426142E-003, +1.58196581199E-002
+8.55340170085E+006, +6.81141468192E-003, +1.61256291432E-002
+8.80350175088E+006, +7.19705252359E-003, +1.64826023364E-002
+9.05360180090E+006, +7.51251622302E-003, +1.68597070775E-002
+9.30370185093E+006, +7.92220823898E-003, +1.72031122990E-002
+9.55380190095E+006, +8.35054237345E-003, +1.76148976238E-002
+9.80390195098E+006, +8.81724377354E-003, +1.79252908997E-002
+1.00540020010E+007, +9.34839155975E-003, +1.83399275058E-002
+1.03041020510E+007, +9.78359565794E-003, +1.87260715058E-002
+1.05542021011E+007, +1.01771275456E-002, +1.90680349561E-002
+1.08043021511E+007, +1.06032451969E-002, +1.95597469610E-002
+1.10544022011E+007, +1.11288012166E-002, +1.97387045715E-002
+1.13045022511E+007, +1.16230859886E-002, +2.00703037244E-002
+1.15546023012E+007, +1.21331812903E-002, +2.04242001993E-002
+1.18047023512E+007, +1.27319547962E-002, +2.08393857928E-002
+1.20548024012E+007, +1.31257763569E-002, +2.11059806318E-002
+1.23049024512E+007, +1.36355547955E-002, +2.14345685834E-002
+1.25550025013E+007, +1.42215443181E-002, +2.16814822126E-002
+1.28051025513E+007, +1.49471540371E-002, +2.19990886419E-002
+1.30552026013E+007, +1.54481331304E-002, +2.23738589075E-002
+1.33053026513E+007, +1.60270026790E-002, +2.25789016026E-002
+1.35554027014E+007, +1.65199149317E-002, +2.28416648043E-002
+1.38055027514E+007, +1.71344386403E-002, +2.32322355433E-002
+1.40556028014E+007, +1.77485424448E-002, +2.34246440191E-002
+1.43057028514E+007, +1.83507627855E-002, +2.36428873507E-002
+1.45558029015E+007, +1.90013715497E-002, +2.38968951451E-002
+1.48059029515E+007, +1.97559211441E-002, +2.40888636671E-002
+1.50560030015E+007, +2.02404624876E-002, +2.43138995513E-002
+1.53061030515E+007, +2.09785351239E-002, +2.44102597401E-002
+1.55562031016E+007, +2.17148653918E-002, +2.45920113660E-002
+1.58063031516E+007, +2.22605074172E-002, +2.47743923696E-002
+1.60564032016E+007, +2.29421616772E-002, +2.50595569117E-002
+1.63065032516E+007, +2.35447537903E-002, +2.51555775890E-002
+1.65566033017E+007, +2.44581141691E-002, +2.53510864866E-002
+1.68067033517E+007, +2.51297099734E-002, +2.55450907540E-002
+1.70568034017E+007, +2.57839878997E-002, +2.56280184291E-002
+1.73069034517E+007, +2.65154940500E-002, +2.56661027516E-002
+1.75570035018E+007, +2.73801616260E-002, +2.58494020657E-002
+1.78071035518E+007, +2.79422598283E-002, +2.59421528405E-002
+1.80572036018E+007, +2.88461919604E-002, +2.59861389046E-002
+1.83073036518E+007, +2.95806129002E-002, +2.60948540680E-002
+1.85574037019E+007, +3.03012058880E-002, +2.60318279743E-002
+1.88075037519E+007, +3.11485623130E-002, +2.62348276247E-002
+1.90576038019E+007, +3.19427492488E-002, +2.61516893394E-002
+1.93077038519E+007, +3.26548911140E-002, +2.61365590410E-002
