"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.21179122642E-002, -2.37391755683E-003
+3.00100050025E+005, -7.63345324757E-006, +7.97971314595E-004
+5.50200100050E+005, -2.10395127615E-005, +1.09163747731E-003
+8.00300150075E+005, +2.85727210037E-004, +1.45486332664E-003
+1.05040020010E+006, +4.47203878798E-004, +2.13707012219E-003
+1.30050025013E+006, +4.45539938676E-004, +2.54467553999E-003
+1.55060030015E+006, +8.23408258453E-004, +3.16731295282E-003
+1.80070035018E+006, +4.09980668426E-004, +3.36135805726E-003
+2.05080040020E+006, +5.28591285836E-004, +4.11558475481E-003
+2.30090045023E+006, +9.31628395259E-004, +5.05030109538E-003
+2.55100050025E+006, +8.39708072746E-004, +5.01756304938E-003
+2.80110055028E+006, +9.35312232374E-004, +5.99031081479E-003
+3.05120060030E+006, +1.45001570934E-003, +6.08580867006E-003
+3.30130065033E+006, +1.05253170388E-003, +6.69785387773E-003
+3.55140070035E+006, +1.13494637184E-003, +7.32322820169E-003
+3.80150075038E+006, +1.52348954463E-003, +7.76460706874E-003
+4.05160080040E+006, +1.66357649353E-003, +8.22670372914E-003
+4.30170085043E+006, +2.11505162844E-003, +8.77287693075E-003
+4.55180090045E+006, +2.50802351173E-003, +9.19744431515E-003
+4.80190095048E+006, +2.18767874387E-003, +9.02363065427E-003
+5.05200100050E+006, +2.57660247566E-003, +9.91351920279E-003
+5.30210105053E+006, +2.76063853353E-003, +1.04246455305E-002
+5.55220110055E+006, +2.88448049257E-003, +1.09558749400E-002
+5.80230115058E+006, +3.17472178506E-003, +1.15429313420E-002
+6.05240120060E+006, +3.78994271191E-003, +1.19533251938E-002
+6.30250125063E+006, +3.44729582038E-003, +1.26150907723E-002
+6.55260130065E+006, +4.25604996841E-003, +1.25345121384E-002
+6.80270135068E+006, +4.29336010970E-003, +1.32342858853E-002
+7.05280140070E+006, +4.80663597338E-003, +1.37306944082E-002
+7.30290145073E+006, +5.06911397050E-003, +1.39625820659E-002
+7.55300150075E+006, +5.63760270747E-003, +1.49274356655E-002
+7.80310155078E+006, +5.63499270949E-003, +1.48589716181E-002
+8.05320160080E+006, +5.92680635625E-003, +1.56160574346E-002
+8.30330165083E+006, +6.54576881944E-003, +1.62639681773E-002
+8.55340170085E+006, +7.01504122631E-003, +1.63199991303E-002
+8.80350175088E+006, +7.35765688606E-003, +1.67395127347E-002
+9.05360180090E+006, +7.73126167641E-003, +1.72144230561E-002
+9.30370185093E+006, +8.34557364382E-003, +1.75514961920E-002
+9.55380190095E+006, +8.66675938003E-003, +1.80402964741E-002
+9.80390195098E+006, +9.08447955668E-003, +1.83329119650E-002
+1.00540020010E+007, +9.58590761623E-003, +1.87100924328E-002
+1.03041020510E+007, +9.94477837257E-003, +1.91261862878E-002
+1.05542021011E+007, +1.04393467047E-002, +1.93834940693E-002
+1.08043021511E+007, +1.08428498229E-002, +1.97684856392E-002
+1.10544022011E+007, +1.15329573355E-002, +2.02664525058E-002
+1.13045022511E+007, +1.19760799868E-002, +2.06575828560E-002
+1.15546023012E+007, +1.24432178899E-002, +2.07676941563E-002
+1.18047023512E+007, +1.29277340046E-002, +2.11501123119E-002
+1.20548024012E+007, +1.36310591642E-002, +2.15493251365E-002
+1.23049024512E+007, +1.40589755484E-002, +2.19312614143E-002
+1.25550025013E+007, +1.46177185067E-002, +2.21647949524E-002
+1.28051025513E+007, +1.52584419176E-002, +2.24490327856E-002
+1.30552026013E+007, +1.58250716081E-002, +2.27844998963E-002
+1.33053026513E+007, +1.64408835181E-002, +2.30677478914E-002
+1.35554027014E+007, +1.70159962012E-002, +2.32298169394E-002
+1.38055027514E+007, +1.76133914657E-002, +2.35481051123E-002
