"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +1.93956176359E-002, -1.80944505057E-003
+3.00100050025E+005, +9.62117881301E-005, +4.39681400201E-004
+5.50200100050E+005, -5.85834125140E-005, +1.11936898133E-003
+8.00300150075E+005, +4.11028243312E-004, +1.79645992643E-003
+1.05040020010E+006, +5.21933922134E-004, +2.57170949535E-003
+1.30050025013E+006, +6.66453838719E-005, +2.68298200979E-003
+1.55060030015E+006, +5.27774752416E-004, +3.38866266408E-003
+1.80070035018E+006, +4.02630494577E-004, +3.48257161392E-003
+2.05080040020E+006, +7.87478926124E-004, +3.98341516983E-003
+2.30090045023E+006, +9.69967073641E-004, +4.69522116467E-003
+2.55100050025E+006, +5.31062743082E-004, +4.76616873607E-003
+2.80110055028E+006, +8.10605793311E-004, +5.71466761356E-003
+3.05120060030E+006, +1.36024734885E-003, +5.96227691170E-003
+3.30130065033E+006, +9.98931753499E-004, +6.87756056890E-003
+3.55140070035E+006, +1.44171283539E-003, +6.82215574595E-003
+3.80150075038E+006, +1.28846310767E-003, +7.36874066890E-003
+4.05160080040E+006, +1.63851504121E-003, +7.70307652425E-003
+4.30170085043E+006, +2.36740934691E-003, +8.43932658802E-003
+4.55180090045E+006, +1.66227225349E-003, +8.82058957428E-003
+4.80190095048E+006, +2.32301346123E-003, +9.57070438000E-003
+5.05200100050E+006, +2.30962147515E-003, +9.67107561596E-003
+5.30210105053E+006, +2.93805192044E-003, +1.03789649131E-002
+5.55220110055E+006, +2.69945811648E-003, +1.05610428285E-002
+5.80230115058E+006, +3.08646658799E-003, +1.08047319856E-002
+6.05240120060E+006, +3.39809250204E-003, +1.14803670359E-002
+6.30250125063E+006, +3.94563507424E-003, +1.17271600145E-002
+6.55260130065E+006, +4.02250140717E-003, +1.23226311036E-002
+6.80270135068E+006, +4.12417754696E-003, +1.28492885388E-002
+7.05280140070E+006, +4.63558147891E-003, +1.31474203950E-002
+7.30290145073E+006, +4.57707965084E-003, +1.37234674860E-002
+7.55300150075E+006, +5.07402131903E-003, +1.41524424077E-002
+7.80310155078E+006, +5.81137011886E-003, +1.45642829310E-002
+8.05320160080E+006, +5.78509408347E-003, +1.45229361053E-002
+8.30330165083E+006, +6.11131676406E-003, +1.52156908356E-002
+8.55340170085E+006, +6.63782412623E-003, +1.57746473578E-002
+8.80350175088E+006, +6.99867072470E-003, +1.62374682807E-002
+9.05360180090E+006, +7.42321749908E-003, +1.65283065659E-002
+9.30370185093E+006, +7.84599983229E-003, +1.69047932573E-002
+9.55380190095E+006, +8.16091084676E-003, +1.72584146059E-002
+9.80390195098E+006, +8.64206870978E-003, +1.76000550879E-002
+1.00540020010E+007, +9.07549269263E-003, +1.81211283363E-002
+1.03041020510E+007, +9.57635980886E-003, +1.84022204764E-002
+1.05542021011E+007, +9.98940250823E-003, +1.86952798445E-002
+1.08043021511E+007, +1.04435218452E-002, +1.90766590561E-002
+1.10544022011E+007, +1.09333790704E-002, +1.95368739762E-002
+1.13045022511E+007, +1.13743682555E-002, +1.97784309257E-002
+1.15546023012E+007, +1.18876974513E-002, +2.01050953079E-002
+1.18047023512E+007, +1.24651832329E-002, +2.04233992016E-002
+1.20548024012E+007, +1.30114755218E-002, +2.06946404706E-002
+1.23049024512E+007, +1.34160943032E-002, +2.10720256071E-002
+1.25550025013E+007, +1.41658563730E-002, +2.13454915136E-002
+1.28051025513E+007, +1.45960077943E-002, +2.16092652120E-002
+1.30552026013E+007, +1.51361601216E-002, +2.18643876527E-002
+1.33053026513E+007, +1.57021416376E-002, +2.21466741502E-002
+1.35554027014E+007, +1.62146622717E-002, +2.24372660088E-002
+1.38055027514E+007, +1.68605088022E-002, +2.27351812183E-002
+1.40556028014E+007, +1.75230779900E-002, +2.28975129879E-002
+1.43057028514E+007, +1.80044271759E-002, +2.31207173100E-002
+1.45558029015E+007, +1.86639483641E-002, +2.33864564494E-002
+1.48059029515E+007, +1.92933361761E-002, +2.36734235224E-002
+1.50560030015E+007, +1.98950084818E-002, +2.38457662280E-002
+1.53061030515E+007, +2.05763307754E-002, +2.41102295640E-002
+1.55562031016E+007, +2.11881049459E-002, +2.43905885323E-002
+1.58063031516E+007, +2.18270669320E-002, +2.42955748095E-002
+1.60564032016E+007, +2.25762648271E-002, +2.45530354134E-002
+1.63065032516E+007, +2.30805605701E-002, +2.47910521982E-002
+1.65566033017E+007, +2.39380457387E-002, +2.48213232023E-002
+1.68067033517E+007, +2.46466162737E-002, +2.50321806647E-002
+1.70568034017E+007, +2.53178570919E-002, +2.51684794138E-002
+1.73069034517E+007, +2.59845388227E-002, +2.51887576555E-002
+1.75570035018E+007, +2.67042261107E-002, +2.53471993412E-002
+1.78071035518E+007, +2.75146508087E-002, +2.55003755417E-002
+1.80572036018E+007, +2.83123800751E-002, +2.54988603255E-002
+1.83073036518E+007, +2.90020580511E-002, +2.56773040737E-002
+1.85574037019E+007, +2.96799170928E-002, +2.56531662595E-002
+1.88075037519E+007, +3.05155377992E-002, +2.56990270087E-002
+1.90576038019E+007, +3.12023040683E-002, +2.57712111289E-002
+1.93077038519E+007, +3.21453072776E-002, +2.58170174862E-002
+1.95578039020E+007, +3.29414373690E-002, +2.57533247421E-002
+1.98079039520E+007, +3.35879611009E-002, +2.57318560244E-002
+2.00580040020E+007, +3.43654132723E-002, +2.57838601058E-002
+2.03081040520E+007, +3.51836327041E-002, +2.56730857532E-002
+2.05582041021E+007, +3.61676797076E-002, +2.56597157046E-002
+2.08083041521E+007, +3.68479441534E-002, +2.56013572623E-002
+2.10584042021E+007, +3.76806399990E-002, +2.54976647191E-002
+2.13085042521E+007, +3.86534296303E-002, +2.55050904368E-002
+2.15586043022E+007, +3.93461752866E-002, +2.53149836116E-002
+2.18087043522E+007, +4.03116236341E-002, +2.52553872852E-002
+2.20588044022E+007, +4.11253510800E-002, +2.50996775840E-002
+2.23089044522E+007, +4.19916445764E-002, +2.49048652060E-002
+2.25590045023E+007, +4.28896136791E-002, +2.48603769619E-002
+2.28091045523E+007, +4.37099234600E-002, +2.46599021677E-002
+2.30592046023E+007, +4.46576969411E-002, +2.45114681095E-002
+2.33093046523E+007, +4.54555910969E-002, +2.42677878765E-002
+2.35594047024E+007, +4.64031706415E-002, +2.38784592839E-002
+2.38095047524E+007, +4.73390450084E-002, +2.37827190008E-002
+2.40596048024E+007, +4.82216811493E-002, +2.34135979733E-002
+2.43097048524E+007, +4.91568279157E-002, +2.32631956468E-002
+2.45598049025E+007, +5.01641417076E-002, +2.30282885855E-002
+2.48099049525E+007, +5.09515416498E-002, +2.27715591587E-002
+2.50600050025E+007, +5.20422154998E-002, +2.23727499293E-002
+2.53101050525E+007, +5.28950666273E-002, +2.20138358727E-002
+2.55602051026E+007, +5.38712603172E-002, +2.17557449101E-002
+2.58103051526E+007, +5.47240149168E-002, +2.13984383028E-002
+2.60604052026E+007, +5.58002550441E-002, +2.09191551226E-002
+2.63105052526E+007, +5.67470954357E-002, +2.04903582064E-002
+2.65606053027E+007, +5.76949459388E-002, +2.01373940249E-002
+2.68107053527E+007, +5.87069232696E-002, +1.96304253014E-002
+2.70608054027E+007, +5.96563806126E-002, +1.92343877525E-002
+2.73109054527E+007, +6.06702643501E-002, +1.87767900591E-002
+2.75610055028E+007, +6.16429701104E-002, +1.82041893395E-002
+2.78111055528E+007, +6.25905216258E-002, +1.76554532923E-002
+2.80612056028E+007, +6.36333665327E-002, +1.70423528013E-002
+2.83113056528E+007, +6.46474651457E-002, +1.66147758484E-002
+2.85614057029E+007, +6.56104414191E-002, +1.59628762632E-002
+2.88115057529E+007, +6.66167300993E-002, +1.54341392380E-002
+2.90616058029E+007, +6.76812380353E-002, +1.47515498926E-002
+2.93117058529E+007, +6.86931858905E-002, +1.42234289290E-002
+2.95618059030E+007, +6.96909924406E-002, +1.35300590275E-002
+2.98119059530E+007, +7.08007457953E-002, +1.27159505370E-002
+3.00620060030E+007, +7.17298819281E-002, +1.21068712841E-002
+3.03121060530E+007, +7.28264174849E-002, +1.14471052181E-002
+3.05622061031E+007, +7.39143124934E-002, +1.06595227773E-002
+3.08123061531E+007, +7.49063907046E-002, +9.88665391619E-003
+3.10624062031E+007, +7.59724466483E-002, +9.01876557909E-003
+3.13125062531E+007, +7.70303445032E-002, +8.25447456784E-003
+3.15626063032E+007, +7.80245456069E-002, +7.31539209113E-003
+3.18127063532E+007, +7.91487335031E-002, +6.48142967260E-003
+3.20628064032E+007, +8.01810426904E-002, +5.58054332731E-003
+3.23129064532E+007, +8.11325953404E-002, +4.64106352360E-003
+3.25630065033E+007, +8.23178794183E-002, +3.75569469461E-003
+3.28131065533E+007, +8.34571868287E-002, +2.79945949226E-003
+3.30632066033E+007, +8.44391801284E-002, +1.82444444986E-003
+3.33133066533E+007, +8.55106040433E-002, +8.77956174274E-004
+3.35634067034E+007, +8.65792037203E-002, -3.39590484631E-004
+3.38135067534E+007, +8.76456043896E-002, -1.30840178885E-003
+3.40636068034E+007, +8.87790858781E-002, -2.46234927183E-003
+3.43137068534E+007, +8.98062951020E-002, -3.67412446964E-003
+3.45638069035E+007, +9.09640373763E-002, -4.80367493640E-003
+3.48139069535E+007, +9.20127196175E-002, -6.02527729470E-003
+3.50640070035E+007, +9.32094980779E-002, -7.19864529442E-003
+3.53141070535E+007, +9.40609695031E-002, -8.49888241984E-003
+3.55642071036E+007, +9.52220543119E-002, -9.76147945443E-003
+3.58143071536E+007, +9.63892864552E-002, -1.12366939129E-002
+3.60644072036E+007, +9.74605990310E-002, -1.24333602040E-002
+3.63145072536E+007, +9.85253330915E-002, -1.39043049674E-002
+3.65646073037E+007, +9.95279798723E-002, -1.52945902019E-002
