"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.02292291708E-002, -7.20792571324E-004
+3.00100050025E+005, -1.71397185276E-004, +4.47577821472E-004
+5.50200100050E+005, -2.27925165556E-005, +1.01159825051E-003
+8.00300150075E+005, -4.93190297431E-004, +1.87146859212E-003
+1.05040020010E+006, +2.57247867438E-004, +2.04250702877E-003
+1.30050025013E+006, +4.47813493982E-004, +2.61511313120E-003
+1.55060030015E+006, +1.41044548889E-004, +3.06980051192E-003
+1.80070035018E+006, +4.63681984911E-004, +3.27838918523E-003
+2.05080040020E+006, +9.49302559895E-005, +4.03751352602E-003
+2.30090045023E+006, +4.46621112909E-004, +4.57379088064E-003
+2.55100050025E+006, +8.81040514993E-004, +4.89197912172E-003
+2.80110055028E+006, +5.72105028569E-004, +5.81909450705E-003
+3.05120060030E+006, +5.79861995494E-004, +6.09656262678E-003
+3.30130065033E+006, +1.31604247932E-003, +6.30979411966E-003
+3.55140070035E+006, +1.17387950546E-003, +7.05519889716E-003
+3.80150075038E+006, +1.18662376890E-003, +7.04229761300E-003
+4.05160080040E+006, +1.15704132198E-003, +7.67325510617E-003
+4.30170085043E+006, +1.52353195319E-003, +8.51083128081E-003
+4.55180090045E+006, +2.07416409571E-003, +8.94853249525E-003
+4.80190095048E+006, +2.01610578847E-003, +9.02496632230E-003
+5.05200100050E+006, +2.50831758041E-003, +1.01215065726E-002
+5.30210105053E+006, +2.90672363286E-003, +9.99242042065E-003
+5.55220110055E+006, +2.98778217752E-003, +1.08249335086E-002
+5.80230115058E+006, +2.96957364912E-003, +1.07140142081E-002
+6.05240120060E+006, +3.44522383719E-003, +1.14707819847E-002
+6.30250125063E+006, +3.46477118271E-003, +1.23212484151E-002
+6.55260130065E+006, +4.15075028158E-003, +1.21579064026E-002
+6.80270135068E+006, +4.76533141979E-003, +1.28721953097E-002
+7.05280140070E+006, +4.22638696303E-003, +1.32247722958E-002
+7.30290145073E+006, +4.90692660478E-003, +1.38979715287E-002
+7.55300150075E+006, +5.25203132144E-003, +1.40431635624E-002
+7.80310155078E+006, +5.46457311616E-003, +1.42851227514E-002
+8.05320160080E+006, +6.05502391180E-003, +1.45746358155E-002
+8.30330165083E+006, +6.30090045758E-003, +1.54659319917E-002
+8.55340170085E+006, +6.63395370944E-003, +1.58015502024E-002
+8.80350175088E+006, +6.95180331884E-003, +1.62567278278E-002
+9.05360180090E+006, +7.45954767292E-003, +1.66302218384E-002
+9.30370185093E+006, +7.83507900758E-003, +1.69291291472E-002
