"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +1.93703070419E-002, -5.19660262994E-004
+3.00100050025E+005, +1.03913413858E-004, +5.29345677112E-004
+5.50200100050E+005, +3.08377464665E-004, +4.65047334909E-004
+8.00300150075E+005, +2.06572266835E-004, +1.43074112782E-003
+1.05040020010E+006, +4.55814597044E-004, +2.08901875610E-003
+1.30050025013E+006, +3.20539838560E-004, +2.69767378284E-003
+1.55060030015E+006, +4.73357134751E-004, +3.51550206349E-003
+1.80070035018E+006, +5.53369058240E-004, +3.45481750472E-003
+2.05080040020E+006, +3.71948094195E-004, +3.86527553567E-003
+2.30090045023E+006, +8.17545280908E-004, +4.81237391435E-003
+2.55100050025E+006, +4.17374759694E-004, +4.81698198359E-003
+2.80110055028E+006, +1.03151932157E-003, +5.67377414120E-003
+3.05120060030E+006, +8.77738651318E-004, +6.28014649887E-003
+3.30130065033E+006, +1.19696881941E-003, +6.61574055677E-003
+3.55140070035E+006, +1.36137291210E-003, +7.49756404139E-003
+3.80150075038E+006, +1.29835812809E-003, +7.51084655203E-003
+4.05160080040E+006, +1.35681447423E-003, +7.78022044119E-003
+4.30170085043E+006, +1.88970442990E-003, +8.48957820635E-003
+4.55180090045E+006, +1.94749067778E-003, +9.33392221858E-003
+4.80190095048E+006, +1.75720716166E-003, +9.51537550027E-003
+5.05200100050E+006, +2.71370703130E-003, +1.00695883206E-002
+5.30210105053E+006, +3.14289371535E-003, +1.01247828726E-002
+5.55220110055E+006, +2.79327541201E-003, +1.06030426103E-002
+5.80230115058E+006, +2.87137136097E-003, +1.10202655248E-002
+6.05240120060E+006, +3.30617295717E-003, +1.12779458011E-002
+6.30250125063E+006, +3.55108428112E-003, +1.20923685615E-002
+6.55260130065E+006, +3.89121956707E-003, +1.24116089377E-002
+6.80270135068E+006, +4.55429284481E-003, +1.33567426345E-002
+7.05280140070E+006, +5.03158248726E-003, +1.35090482226E-002
+7.30290145073E+006, +5.30352622356E-003, +1.43395742951E-002
+7.55300150075E+006, +5.27024331921E-003, +1.40730506503E-002
+7.80310155078E+006, +5.55105960880E-003, +1.50238855321E-002
+8.05320160080E+006, +6.56002229323E-003, +1.50033376641E-002
+8.30330165083E+006, +6.46143726359E-003, +1.55869011638E-002
+8.55340170085E+006, +6.76572417117E-003, +1.60953195265E-002
+8.80350175088E+006, +7.20288531894E-003, +1.64666459586E-002
+9.05360180090E+006, +7.47431038098E-003, +1.68594473729E-002
+9.30370185093E+006, +7.84100052252E-003, +1.72576749255E-002
+9.55380190095E+006, +8.44435388175E-003, +1.75616434842E-002
+9.80390195098E+006, +8.74742122848E-003, +1.79758397391E-002
+1.00540020010E+007, +9.27044338788E-003, +1.83603070381E-002
+1.03041020510E+007, +9.67969051681E-003, +1.88049852661E-002
+1.05542021011E+007, +1.01898130553E-002, +1.91114256645E-002
+1.08043021511E+007, +1.07636677472E-002, +1.93797447839E-002
+1.10544022011E+007, +1.10265081808E-002, +1.97153813312E-002
+1.13045022511E+007, +1.16381217441E-002, +2.00963682363E-002
+1.15546023012E+007, +1.20767867841E-002, +2.04309835887E-002
+1.18047023512E+007, +1.26324426747E-002, +2.07751642921E-002
+1.20548024012E+007, +1.31281149341E-002, +2.10669760625E-002
+1.23049024512E+007, +1.36726723650E-002, +2.13476475762E-002
+1.25550025013E+007, +1.42162720436E-002, +2.16274782495E-002
+1.28051025513E+007, +1.48590167970E-002, +2.19904595426E-002
+1.30552026013E+007, +1.54053322323E-002, +2.23481099388E-002
+1.33053026513E+007, +1.58443433469E-002, +2.25687653779E-002
+1.35554027014E+007, +1.65277229673E-002, +2.28958558873E-002
+1.38055027514E+007, +1.71443116674E-002, +2.32078306850E-002
+1.40556028014E+007, +1.77135621442E-002, +2.33461340741E-002
+1.43057028514E+007, +1.83488727319E-002, +2.36769657590E-002
+1.45558029015E+007, +1.89795911013E-002, +2.38199762109E-002
+1.48059029515E+007, +1.95614887922E-002, +2.39929110342E-002
+1.50560030015E+007, +2.03262199915E-002, +2.42393564460E-002
+1.53061030515E+007, +2.09910833613E-002, +2.44431020157E-002
+1.55562031016E+007, +2.15364905256E-002, +2.45727636542E-002
+1.58063031516E+007, +2.23704276890E-002, +2.47441861321E-002
+1.60564032016E+007, +2.29059518293E-002, +2.49244633595E-002
+1.63065032516E+007, +2.35814287751E-002, +2.52262386245E-002
+1.65566033017E+007, +2.43016271348E-002, +2.52107193132E-002
+1.68067033517E+007, +2.49797427525E-002, +2.54918973659E-002
+1.70568034017E+007, +2.57549226837E-002, +2.55745188382E-002
+1.73069034517E+007, +2.64070727391E-002, +2.56494027587E-002
+1.75570035018E+007, +2.72173640217E-002, +2.59090353865E-002
+1.78071035518E+007, +2.79719939688E-002, +2.58799314831E-002
+1.80572036018E+007, +2.87520998262E-002, +2.60375971280E-002
+1.83073036518E+007, +2.94748237366E-002, +2.59973868307E-002
+1.85574037019E+007, +3.02174317192E-002, +2.60581193126E-002
+1.88075037519E+007, +3.10874612927E-002, +2.61445025063E-002
