"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.38095047524E+007, +5.40764195517E+001, +2.11796479611E+000
+2.40596048024E+007, +5.41623126038E+001, +2.10023882154E+000
+2.43097048524E+007, +5.42353850202E+001, +2.08732424524E+000
+2.45598049025E+007, +5.43174162384E+001, +2.06153246214E+000
+2.48099049525E+007, +5.44057268308E+001, +2.02294337768E+000
+2.50600050025E+007, +5.44887923103E+001, +2.00543992455E+000
+2.53101050525E+007, +5.45732513885E+001, +1.97465124420E+000
+2.55602051026E+007, +5.46648412976E+001, +1.94542761808E+000
+2.58103051526E+007, +5.47409749878E+001, +1.92177142818E+000
+2.60604052026E+007, +5.48298834967E+001, +1.87487552007E+000
+2.63105052526E+007, +5.49210662844E+001, +1.84389094740E+000
+2.65606053027E+007, +5.50029380911E+001, +1.80749780440E+000
+2.68107053527E+007, +5.50925416893E+001, +1.77835306116E+000
+2.70608054027E+007, +5.51804751991E+001, +1.73535094911E+000
+2.73109054527E+007, +5.52601860673E+001, +1.69310410448E+000
+2.75610055028E+007, +5.53576337792E+001, +1.64703893287E+000
+2.78111055528E+007, +5.54588800722E+001, +1.60059774358E+000
+2.80612056028E+007, +5.55358942811E+001, +1.56530449417E+000
+2.83113056528E+007, +5.56369685776E+001, +1.50595681023E+000
+2.85614057029E+007, +5.57245278344E+001, +1.45932785402E+000
+2.88115057529E+007, +5.58089165872E+001, +1.41094315797E+000
+2.90616058029E+007, +5.59055761580E+001, +1.33864443264E+000
+2.93117058529E+007, +5.60046233695E+001, +1.28808965785E+000
+2.95618059030E+007, +5.60909896903E+001, +1.23706865265E+000
+2.98119059530E+007, +5.61996217357E+001, +1.15956038725E+000
+3.00620060030E+007, +5.62891653899E+001, +1.10776675847E+000
+3.03121060530E+007, +5.63681527660E+001, +1.04142751535E+000
+3.05622061031E+007, +5.64669022750E+001, +9.76756562888E-001
+3.08123061531E+007, +5.65593304158E+001, +8.93274113099E-001
+3.10624062031E+007, +5.66670469202E+001, +8.19451172918E-001
+3.13125062531E+007, +5.67491958603E+001, +7.59735572404E-001
+3.15626063032E+007, +5.68543719956E+001, +6.76497359436E-001
+3.18127063532E+007, +5.69469950754E+001, +5.99464693907E-001
+3.20628064032E+007, +5.70464984139E+001, +5.09634435017E-001
+3.23129064532E+007, +5.71440362473E+001, +4.20152802703E-001
+3.25630065033E+007, +5.72363038107E+001, +3.44546874553E-001
+3.28131065533E+007, +5.73389974843E+001, +2.38206846129E-001
+3.30632066033E+007, +5.74283794196E+001, +1.48071569104E-001
+3.33133066533E+007, +5.75228659670E+001, +6.32941273392E-002
+3.35634067034E+007, +5.76220182406E+001, -3.31003042459E-002
+3.38135067534E+007, +5.77256586447E+001, -1.33849028124E-001
+3.40636068034E+007, +5.78249690491E+001, -2.41190095696E-001
+3.43137068534E+007, +5.79153475961E+001, -3.47781522124E-001
+3.45638069035E+007, +5.80105350596E+001, -4.54109234108E-001
+3.48139069535E+007, +5.81028208875E+001, -5.65812494848E-001
+3.50640070035E+007, +5.81965722661E+001, -6.95237233503E-001
+3.53141070535E+007, +5.82999958700E+001, -7.93813496346E-001
+3.55642071036E+007, +5.84019323144E+001, -9.34738655892E-001
+3.58143071536E+007, +5.84903241143E+001, -1.05875192294E+000
+3.60644072036E+007, +5.85871647184E+001, -1.18989618539E+000
+3.63145072536E+007, +5.86756287034E+001, -1.31099335155E+000
+3.65646073037E+007, +5.87700392130E+001, -1.45093811602E+000
+3.68147073537E+007, +5.88692658850E+001, -1.60031387622E+000
+3.70648074037E+007, +5.89775639354E+001, -1.73672647545E+000
+3.73149074537E+007, +5.90535846899E+001, -1.89329070060E+000
+3.75650075038E+007, +5.91496909894E+001, -2.04729472240E+000
+3.78151075538E+007, +5.92444790088E+001, -2.18296530441E+000
+3.80652076038E+007, +5.93193030469E+001, -2.34656278351E+000
+3.83153076538E+007, +5.94200650905E+001, -2.51705854139E+000
+3.85654077039E+007, +5.95129561697E+001, -2.68168801520E+000
+3.88155077539E+007, +5.95893494205E+001, -2.86879839120E+000
+3.90656078039E+007, +5.96893607952E+001, -3.03239442797E+000
+3.93157078539E+007, +5.97748073042E+001, -3.20617112808E+000
+3.95658079040E+007, +5.98708389124E+001, -3.39377127686E+000
+3.98159079540E+007, +5.99453661391E+001, -3.58646309584E+000
+4.00660080040E+007, +6.00423936684E+001, -3.77758099498E+000
+4.03161080540E+007, +6.01241264100E+001, -3.97906433814E+000
+4.05662081041E+007, +6.01976785825E+001, -4.17205740199E+000
+4.08163081541E+007, +6.02869942012E+001, -4.39979215255E+000
+4.10664082041E+007, +6.03600024067E+001, -4.62198168756E+000
+4.13165082541E+007, +6.04313235649E+001, -4.83930239578E+000
+4.15666083042E+007, +6.05036959837E+001, -5.05748232341E+000
+4.18167083542E+007, +6.05806428886E+001, -5.29493535819E+000
+4.20668084042E+007, +6.06582732371E+001, -5.52666182976E+000
+4.23169084542E+007, +6.07267695541E+001, -5.77070932607E+000
+4.25670085043E+007, +6.08028460097E+001, -6.03234674331E+000
+4.28171085543E+007, +6.08513520250E+001, -6.28358229703E+000
+4.30672086043E+007, +6.09216714955E+001, -6.54388735622E+000
+4.33173086543E+007, +6.09742421403E+001, -6.81943884118E+000
+4.35674087044E+007, +6.10374672392E+001, -7.09075464467E+000
+4.38175087544E+007, +6.10875410985E+001, -7.37933439067E+000
+4.40676088044E+007, +6.11428376128E+001, -7.66886239607E+000
+4.43177088544E+007, +6.12074717280E+001, -7.96045201063E+000
+4.45678089045E+007, +6.12181991647E+001, -8.27710441239E+000
+4.48179089545E+007, +6.12710821234E+001, -8.58855814800E+000
+4.50680090045E+007, +6.12970140439E+001, -8.90416643719E+000
+4.53181090545E+007, +6.13379375356E+001, -9.24323609707E+000
+4.55682091046E+007, +6.13617296157E+001, -9.58973340824E+000
+4.58183091546E+007, +6.13695690972E+001, -9.94653454614E+000
+4.60684092046E+007, +6.13888840281E+001, -1.02999991189E+001
+4.63185092546E+007, +6.14057514251E+001, -1.06702328978E+001
+4.65686093047E+007, +6.14070171256E+001, -1.10448435330E+001
+4.68187093547E+007, +6.13984469129E+001, -1.14382617960E+001
+4.70688094047E+007, +6.13957071180E+001, -1.18477304427E+001
+4.73189094547E+007, +6.13693392827E+001, -1.22631330162E+001
+4.75690095048E+007, +6.13581025260E+001, -1.26804584620E+001
