"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +1.99432222454E-002, -2.85652714481E-003
+3.00100050025E+005, +2.68371377390E-004, +9.26608923410E-004
+5.50200100050E+005, -1.70071989043E-004, +1.40406280397E-003
+8.00300150075E+005, +2.26765045973E-004, +1.86120054496E-003
+1.05040020010E+006, +3.48164438375E-004, +2.05244822878E-003
+1.30050025013E+006, +4.03224713326E-004, +2.54701073707E-003
+1.55060030015E+006, +4.21289801211E-004, +3.24062212324E-003
+1.80070035018E+006, +6.93712561970E-004, +3.63238530239E-003
+2.05080040020E+006, +6.75579138433E-004, +4.18837839660E-003
+2.30090045023E+006, +5.11924260552E-004, +4.34195138319E-003
+2.55100050025E+006, +5.30584956029E-004, +5.26880754785E-003
+2.80110055028E+006, +1.14068889842E-003, +5.46328809390E-003
+3.05120060030E+006, +1.69405206955E-003, +6.01847876103E-003
+3.30130065033E+006, +1.00910649763E-003, +6.47922925585E-003
+3.55140070035E+006, +1.55715486504E-003, +7.18394819060E-003
+3.80150075038E+006, +1.59667880133E-003, +7.63732437591E-003
+4.05160080040E+006, +1.49339482311E-003, +7.80759495553E-003
+4.30170085043E+006, +1.81879296478E-003, +8.53684372637E-003
+4.55180090045E+006, +2.24146789269E-003, +9.39810582150E-003
+4.80190095048E+006, +2.13952843556E-003, +9.73585206501E-003
+5.05200100050E+006, +2.37220118540E-003, +1.00636066490E-002
+5.30210105053E+006, +2.84989043554E-003, +1.05529317798E-002
+5.55220110055E+006, +3.29977985312E-003, +1.08499624701E-002
+5.80230115058E+006, +3.09621439644E-003, +1.10870426953E-002
+6.05240120060E+006, +3.51978152968E-003, +1.15789354448E-002
+6.30250125063E+006, +3.83018820186E-003, +1.21126094746E-002
+6.55260130065E+006, +4.06977804764E-003, +1.27836682621E-002
+6.80270135068E+006, +4.36281232970E-003, +1.28194732666E-002
+7.05280140070E+006, +4.16345230571E-003, +1.31545913244E-002
+7.30290145073E+006, +4.73263072124E-003, +1.38094969850E-002
+7.55300150075E+006, +5.72463213756E-003, +1.41339957336E-002
+7.80310155078E+006, +5.96736471124E-003, +1.48614038029E-002
+8.05320160080E+006, +6.18364570263E-003, +1.54239212920E-002
+8.30330165083E+006, +6.68951104705E-003, +1.57852682688E-002
+8.55340170085E+006, +6.79976560148E-003, +1.61622007107E-002
+8.80350175088E+006, +7.27126157026E-003, +1.65054653002E-002
+9.05360180090E+006, +7.62394154944E-003, +1.70226016290E-002
+9.30370185093E+006, +8.00671142290E-003, +1.72958225423E-002
+9.55380190095E+006, +8.33990998117E-003, +1.76797131103E-002
+9.80390195098E+006, +8.85134191082E-003, +1.81497399654E-002
+1.00540020010E+007, +9.36947022245E-003, +1.85102921243E-002
+1.03041020510E+007, +9.86661569481E-003, +1.87955348639E-002
+1.05542021011E+007, +1.02161963655E-002, +1.93169958587E-002
+1.08043021511E+007, +1.07190822686E-002, +1.95659055004E-002
+1.10544022011E+007, +1.11646656764E-002, +1.99513457238E-002
+1.13045022511E+007, +1.17634402458E-002, +2.03384926411E-002
+1.15546023012E+007, +1.21577573887E-002, +2.05264416397E-002
+1.18047023512E+007, +1.27564193785E-002, +2.08817215040E-002
+1.20548024012E+007, +1.32334491998E-002, +2.12133266913E-002
+1.23049024512E+007, +1.38262162530E-002, +2.14988047683E-002
+1.25550025013E+007, +1.43917729200E-002, +2.18590064618E-002
+1.28051025513E+007, +1.49785637341E-002, +2.22379356413E-002
+1.30552026013E+007, +1.55272902830E-002, +2.26000357217E-002
+1.33053026513E+007, +1.60882970049E-002, +2.27101451035E-002
+1.35554027014E+007, +1.66084976030E-002, +2.30307525807E-002
+1.38055027514E+007, +1.73646012799E-002, +2.32740038735E-002
+1.40556028014E+007, +1.78464012409E-002, +2.35545182539E-002
+1.43057028514E+007, +1.85340074272E-002, +2.38800806618E-002
+1.45558029015E+007, +1.92008001953E-002, +2.39280917803E-002
+1.48059029515E+007, +1.98780510468E-002, +2.41799525495E-002
+1.50560030015E+007, +2.05077899078E-002, +2.44286552438E-002
+1.53061030515E+007, +2.11087670299E-002, +2.46771800260E-002
+1.55562031016E+007, +2.18458970994E-002, +2.48129946863E-002
+1.58063031516E+007, +2.24403310455E-002, +2.50659905337E-002
+1.60564032016E+007, +2.31866924818E-002, +2.51941666351E-002
+1.63065032516E+007, +2.37703004063E-002, +2.53481992772E-002
+1.65566033017E+007, +2.44784854867E-002, +2.56591089388E-002
+1.68067033517E+007, +2.53283536683E-002, +2.56729340530E-002
+1.70568034017E+007, +2.60308828019E-002, +2.59191206906E-002
+1.73069034517E+007, +2.68062695923E-002, +2.58804040049E-002
+1.75570035018E+007, +2.75945881253E-002, +2.59851594372E-002
+1.78071035518E+007, +2.82238227991E-002, +2.61296573207E-002
+1.80572036018E+007, +2.90762711425E-002, +2.61768798590E-002
+1.83073036518E+007, +2.97928130766E-002, +2.62592520768E-002
+1.85574037019E+007, +3.05725111749E-002, +2.63331352204E-002
+1.88075037519E+007, +3.13931558191E-002, +2.63756188321E-002
+1.90576038019E+007, +3.21693614058E-002, +2.63177935238E-002
+1.93077038519E+007, +3.29363038016E-002, +2.63681371430E-002
+1.95578039020E+007, +3.37701975713E-002, +2.64293761301E-002
+1.98079039520E+007, +3.46176777805E-002, +2.64861411290E-002
+2.00580040020E+007, +3.54140984870E-002, +2.65079417589E-002
+2.03081040520E+007, +3.61636252426E-002, +2.63569757723E-002
+2.05582041021E+007, +3.70868960265E-002, +2.63577633326E-002
+2.08083041521E+007, +3.79329961663E-002, +2.63007564335E-002
