"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.03211237119E-002, -3.67466987159E-003
+3.00100050025E+005, +1.34909664882E-004, +9.28678270861E-004
+5.50200100050E+005, +8.56274727459E-005, +1.24177533634E-003
+8.00300150075E+005, +5.92358203708E-004, +1.98645596763E-003
+1.05040020010E+006, +2.36243845415E-004, +2.11719854841E-003
+1.30050025013E+006, +5.12294498483E-004, +2.85311904856E-003
+1.55060030015E+006, +4.87220128896E-004, +3.00402645672E-003
+1.80070035018E+006, +4.25175602628E-004, +3.38241027535E-003
+2.05080040020E+006, +6.13103730450E-004, +4.13399354746E-003
+2.30090045023E+006, +7.08432319082E-004, +4.32231179662E-003
+2.55100050025E+006, +7.92929731432E-004, +5.42600104148E-003
+2.80110055028E+006, +1.13592759051E-003, +5.63143902020E-003
+3.05120060030E+006, +8.87060462318E-004, +6.03606908271E-003
+3.30130065033E+006, +1.52668384997E-003, +6.58698323551E-003
+3.55140070035E+006, +1.39955911019E-003, +6.85184823445E-003
+3.80150075038E+006, +1.52244050997E-003, +7.29631514443E-003
+4.05160080040E+006, +1.53314745739E-003, +7.85232552237E-003
+4.30170085043E+006, +1.78722276501E-003, +8.29053830518E-003
+4.55180090045E+006, +1.77452452951E-003, +8.84134734807E-003
+4.80190095048E+006, +2.28532828736E-003, +9.20779990492E-003
+5.05200100050E+006, +2.28351832689E-003, +9.66148915845E-003
+5.30210105053E+006, +2.90761136238E-003, +1.03857123449E-002
+5.55220110055E+006, +2.91748282557E-003, +1.09387993191E-002
+5.80230115058E+006, +3.21096131111E-003, +1.16635079646E-002
+6.05240120060E+006, +3.36341027224E-003, +1.13661535028E-002
+6.30250125063E+006, +3.78772065387E-003, +1.18798797203E-002
+6.55260130065E+006, +4.36123347531E-003, +1.27837917781E-002
+6.80270135068E+006, +4.39852366559E-003, +1.30375619132E-002
+7.05280140070E+006, +4.62805874604E-003, +1.33865033365E-002
+7.30290145073E+006, +5.31113354223E-003, +1.40560406662E-002
+7.55300150075E+006, +5.44969521269E-003, +1.44423794108E-002
+7.80310155078E+006, +5.20408888929E-003, +1.47081592259E-002
+8.05320160080E+006, +5.96619665442E-003, +1.51201609482E-002
+8.30330165083E+006, +6.38154900149E-003, +1.56101229092E-002
+8.55340170085E+006, +6.69074340442E-003, +1.59149785795E-002
+8.80350175088E+006, +7.03262253384E-003, +1.64584161976E-002
+9.05360180090E+006, +7.44072492146E-003, +1.67012172004E-002
+9.30370185093E+006, +7.85053957056E-003, +1.71691081612E-002
+9.55380190095E+006, +8.28276119038E-003, +1.75078986777E-002
+9.80390195098E+006, +8.70556373348E-003, +1.78607392773E-002
+1.00540020010E+007, +9.12829939918E-003, +1.83347777484E-002
+1.03041020510E+007, +9.63370040523E-003, +1.86349941178E-002
+1.05542021011E+007, +1.00747692193E-002, +1.90741639204E-002
+1.08043021511E+007, +1.05926904582E-002, +1.92838835229E-002
+1.10544022011E+007, +1.09679243415E-002, +1.97227453195E-002
+1.13045022511E+007, +1.15949326962E-002, +2.00333324730E-002
+1.15546023012E+007, +1.19793809730E-002, +2.03768453997E-002
+1.18047023512E+007, +1.25101061189E-002, +2.06938782313E-002
+1.20548024012E+007, +1.29941166322E-002, +2.09670277751E-002
+1.23049024512E+007, +1.36609647281E-002, +2.13061649480E-002
+1.25550025013E+007, +1.41360622897E-002, +2.16299909691E-002
+1.28051025513E+007, +1.46588098375E-002, +2.18937988501E-002
+1.30552026013E+007, +1.52603619317E-002, +2.21854553112E-002
+1.33053026513E+007, +1.58046768454E-002, +2.25769271356E-002
+1.35554027014E+007, +1.64249225964E-002, +2.26456675349E-002
+1.38055027514E+007, +1.70537018703E-002, +2.29895539514E-002
+1.40556028014E+007, +1.76274472799E-002, +2.32922385012E-002
+1.43057028514E+007, +1.82452619743E-002, +2.34844033411E-002
+1.45558029015E+007, +1.87798837891E-002, +2.36680826974E-002
+1.48059029515E+007, +1.95325250899E-002, +2.39279137512E-002
+1.50560030015E+007, +2.01766546366E-002, +2.41362385420E-002
+1.53061030515E+007, +2.07692829173E-002, +2.43119293161E-002
+1.55562031016E+007, +2.12970898794E-002, +2.45598278185E-002
+1.58063031516E+007, +2.21823680439E-002, +2.47596683826E-002
+1.60564032016E+007, +2.27819078296E-002, +2.48131009539E-002
+1.63065032516E+007, +2.34828480889E-002, +2.50609454615E-002
+1.65566033017E+007, +2.41316888218E-002, +2.52179354093E-002
+1.68067033517E+007, +2.48509030836E-002, +2.53614357393E-002
+1.70568034017E+007, +2.56674308642E-002, +2.55241660136E-002
+1.73069034517E+007, +2.62415387091E-002, +2.55757799035E-002
+1.75570035018E+007, +2.71822352448E-002, +2.56206231823E-002
+1.78071035518E+007, +2.77912793200E-002, +2.57521120560E-002
+1.80572036018E+007, +2.87121334729E-002, +2.59491657624E-002
+1.83073036518E+007, +2.92066186327E-002, +2.59054978123E-002
+1.85574037019E+007, +3.00482677318E-002, +2.58888867463E-002
+1.88075037519E+007, +3.08866354097E-002, +2.60356301669E-002
+1.90576038019E+007, +3.16503142405E-002, +2.60816511376E-002
+1.93077038519E+007, +3.24033160356E-002, +2.60278452832E-002
+1.95578039020E+007, +3.32475721041E-002, +2.61282507239E-002
+1.98079039520E+007, +3.39152437320E-002, +2.61177739866E-002
+2.00580040020E+007, +3.48300549662E-002, +2.60677117258E-002
+2.03081040520E+007, +3.57491362214E-002, +2.60294765623E-002
+2.05582041021E+007, +3.63945740451E-002, +2.59295359453E-002
+2.08083041521E+007, +3.72830950320E-002, +2.59391723563E-002
