"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.00539875049E-002, -3.33724298955E-003
+3.00100050025E+005, -2.59331126987E-004, +7.55756144735E-004
+5.50200100050E+005, -8.70037832522E-005, +1.66444226779E-003
+8.00300150075E+005, +3.25314342682E-004, +1.29594240420E-003
+1.05040020010E+006, +1.81808522059E-004, +2.12716296132E-003
+1.30050025013E+006, -2.09151342930E-004, +2.58708599398E-003
+1.55060030015E+006, +4.15125575820E-004, +2.93898530491E-003
+1.80070035018E+006, +6.23151981529E-004, +3.69217551470E-003
+2.05080040020E+006, +6.10784431797E-004, +3.99134965619E-003
+2.30090045023E+006, +5.45108698280E-004, +4.43097470865E-003
+2.55100050025E+006, +6.31925006955E-004, +4.92061072330E-003
+2.80110055028E+006, +7.13793869328E-004, +5.08437089051E-003
+3.05120060030E+006, +9.88329245776E-004, +5.89216556153E-003
+3.30130065033E+006, +6.85618257903E-004, +6.41901166943E-003
+3.55140070035E+006, +1.07124689366E-003, +6.86236099598E-003
+3.80150075038E+006, +1.18583185650E-003, +7.35231335546E-003
+4.05160080040E+006, +1.29487289324E-003, +7.97860162731E-003
+4.30170085043E+006, +1.76490231493E-003, +8.40635080254E-003
+4.55180090045E+006, +1.87307212280E-003, +8.71289245096E-003
+4.80190095048E+006, +2.17681958502E-003, +8.93735203333E-003
+5.05200100050E+006, +2.17695147280E-003, +9.33366932750E-003
+5.30210105053E+006, +3.09557838568E-003, +1.01052082395E-002
+5.55220110055E+006, +3.04615705451E-003, +1.10725568442E-002
+5.80230115058E+006, +3.54521422218E-003, +1.10030874572E-002
+6.05240120060E+006, +3.47683297667E-003, +1.17742514251E-002
+6.30250125063E+006, +3.63430609532E-003, +1.20160637350E-002
+6.55260130065E+006, +3.91568311025E-003, +1.24024637661E-002
+6.80270135068E+006, +4.63187933685E-003, +1.31357995672E-002
+7.05280140070E+006, +4.88549040538E-003, +1.31509402327E-002
+7.30290145073E+006, +4.78212876616E-003, +1.36264023206E-002
+7.55300150075E+006, +4.82591067903E-003, +1.44009501503E-002
+7.80310155078E+006, +5.81153697250E-003, +1.49158701212E-002
+8.05320160080E+006, +6.39036038648E-003, +1.48493669186E-002
+8.30330165083E+006, +6.27331803974E-003, +1.57118399992E-002
+8.55340170085E+006, +6.57934394053E-003, +1.58593747514E-002
+8.80350175088E+006, +6.94631480377E-003, +1.61984849138E-002
+9.05360180090E+006, +7.37990512796E-003, +1.66139178040E-002
+9.30370185093E+006, +7.68673866029E-003, +1.70561029510E-002
+9.55380190095E+006, +8.27965529564E-003, +1.74124489282E-002
+9.80390195098E+006, +8.57681639379E-003, +1.77933141649E-002
+1.00540020010E+007, +9.06773274169E-003, +1.82825256511E-002
+1.03041020510E+007, +9.58498867209E-003, +1.84592772988E-002
+1.05542021011E+007, +9.94712169655E-003, +1.89617463625E-002
+1.08043021511E+007, +1.03624715831E-002, +1.93540702038E-002
+1.10544022011E+007, +1.08939481322E-002, +1.95915854515E-002
+1.13045022511E+007, +1.14437657367E-002, +1.99544920429E-002
+1.15546023012E+007, +1.20225249933E-002, +2.03462015277E-002
+1.18047023512E+007, +1.23901611941E-002, +2.06108368497E-002
+1.20548024012E+007, +1.29917606244E-002, +2.09385050936E-002
+1.23049024512E+007, +1.35437473514E-002, +2.11882923340E-002
+1.25550025013E+007, +1.40930716443E-002, +2.15475047020E-002
+1.28051025513E+007, +1.45765041613E-002, +2.17942323120E-002
+1.30552026013E+007, +1.51609673592E-002, +2.21451502585E-002
+1.33053026513E+007, +1.57333861188E-002, +2.23313437697E-002
+1.35554027014E+007, +1.62750302664E-002, +2.27078224948E-002
+1.38055027514E+007, +1.68454331481E-002, +2.28307543940E-002
+1.40556028014E+007, +1.74118756854E-002, +2.31033598444E-002
+1.43057028514E+007, +1.80529425465E-002, +2.32946056830E-002
+1.45558029015E+007, +1.87252544441E-002, +2.35356213920E-002
+1.48059029515E+007, +1.93968885921E-002, +2.38124282556E-002
+1.50560030015E+007, +2.00520351005E-002, +2.40553135474E-002
+1.53061030515E+007, +2.06284002898E-002, +2.43271167654E-002
+1.55562031016E+007, +2.12981696751E-002, +2.44530934783E-002
+1.58063031516E+007, +2.20343124197E-002, +2.45659264123E-002
+1.60564032016E+007, +2.26878023730E-002, +2.47000532317E-002
+1.63065032516E+007, +2.31736776989E-002, +2.49316366628E-002
+1.65566033017E+007, +2.40990733022E-002, +2.50877062544E-002
+1.68067033517E+007, +2.47599213627E-002, +2.52278993563E-002
+1.70568034017E+007, +2.53496588794E-002, +2.53623367317E-002
+1.73069034517E+007, +2.61593452716E-002, +2.54337038890E-002
+1.75570035018E+007, +2.69145926952E-002, +2.55595845790E-002
+1.78071035518E+007, +2.76765469098E-002, +2.56537280591E-002
+1.80572036018E+007, +2.82791969165E-002, +2.57344297637E-002
+1.83073036518E+007, +2.90576606123E-002, +2.57352233775E-002
+1.85574037019E+007, +2.98388878413E-002, +2.59541353732E-002
+1.88075037519E+007, +3.07286948237E-002, +2.58470051798E-002
+1.90576038019E+007, +3.13431607587E-002, +2.60166620557E-002
+1.93077038519E+007, +3.22439328678E-002, +2.58643454986E-002
+1.95578039020E+007, +3.29729035938E-002, +2.59734206730E-002
+1.98079039520E+007, +3.37607256396E-002, +2.60102568378E-002
+2.00580040020E+007, +3.45605361995E-002, +2.60447567777E-002
+2.03081040520E+007, +3.54765317693E-002, +2.58947157362E-002
+2.05582041021E+007, +3.62681039562E-002, +2.58566204824E-002
+2.08083041521E+007, +3.70385539933E-002, +2.57807081772E-002
+2.10584042021E+007, +3.78240815873E-002, +2.56905101932E-002
+2.13085042521E+007, +3.87068195774E-002, +2.56403678669E-002
+2.15586043022E+007, +3.96102878662E-002, +2.55079879343E-002
+2.18087043522E+007, +4.04696450387E-002, +2.54047692979E-002
+2.20588044022E+007, +4.13559173857E-002, +2.52593658026E-002
+2.23089044522E+007, +4.22486382689E-002, +2.51829596951E-002
+2.25590045023E+007, +4.30952518393E-002, +2.49766302562E-002
+2.28091045523E+007, +4.39276933438E-002, +2.48116595274E-002
+2.30592046023E+007, +4.47247229403E-002, +2.46010929895E-002
+2.33093046523E+007, +4.57376103092E-002, +2.44418179907E-002
+2.35594047024E+007, +4.65879296252E-002, +2.42026253976E-002
+2.38095047524E+007, +4.76005147070E-002, +2.39438896049E-002
+2.40596048024E+007, +4.85542026445E-002, +2.36559955600E-002
+2.43097048524E+007, +4.94822632763E-002, +2.34089571601E-002
+2.45598049025E+007, +5.03611289666E-002, +2.32123713262E-002
+2.48099049525E+007, +5.12768705941E-002, +2.28466853135E-002
+2.50600050025E+007, +5.22831650174E-002, +2.26267635892E-002
+2.53101050525E+007, +5.32248685447E-002, +2.22181836263E-002
+2.55602051026E+007, +5.42233723335E-002, +2.18310571450E-002
+2.58103051526E+007, +5.51616646154E-002, +2.14460739084E-002
+2.60604052026E+007, +5.60792216792E-002, +2.11470605697E-002
+2.63105052526E+007, +5.69636704618E-002, +2.06879832387E-002
+2.65606053027E+007, +5.79651389586E-002, +2.01742852777E-002
+2.68107053527E+007, +5.90332961040E-002, +1.98046992196E-002
+2.70608054027E+007, +5.99388359018E-002, +1.93564069603E-002
+2.73109054527E+007, +6.09165125444E-002, +1.89361035717E-002
+2.75610055028E+007, +6.18831310501E-002, +1.83571534342E-002
+2.78111055528E+007, +6.29439492611E-002, +1.78356422848E-002
+2.80612056028E+007, +6.39086882092E-002, +1.72733594591E-002
+2.83113056528E+007, +6.48914870653E-002, +1.67688489851E-002
+2.85614057029E+007, +6.60123741315E-002, +1.61631001938E-002
+2.88115057529E+007, +6.70115128332E-002, +1.54997911510E-002
+2.90616058029E+007, +6.80048338054E-002, +1.49193411219E-002
+2.93117058529E+007, +6.90926362445E-002, +1.43839070240E-002
+2.95618059030E+007, +7.01821049332E-002, +1.35937750565E-002
+2.98119059530E+007, +7.11682686470E-002, +1.29466606004E-002
+3.00620060030E+007, +7.22262752711E-002, +1.23067973824E-002
+3.03121060530E+007, +7.31145541939E-002, +1.15250745447E-002
+3.05622061031E+007, +7.41907261167E-002, +1.08020587766E-002
+3.08123061531E+007, +7.52553782727E-002, +9.89274009707E-003
+3.10624062031E+007, +7.63806753950E-002, +9.24033584882E-003
+3.13125062531E+007, +7.73692678720E-002, +8.34122842893E-003
+3.15626063032E+007, +7.84108688183E-002, +7.54019812150E-003
+3.18127063532E+007, +7.94418979985E-002, +6.60270679702E-003
+3.20628064032E+007, +8.04573714701E-002, +5.70306504285E-003
+3.23129064532E+007, +8.16292749220E-002, +4.78632037384E-003
+3.25630065033E+007, +8.26802401730E-002, +3.77953445510E-003
+3.28131065533E+007, +8.37085179059E-002, +2.89139904103E-003
+3.30632066033E+007, +8.48496958427E-002, +1.95154043779E-003
+3.33133066533E+007, +8.58594347501E-002, +8.37166622047E-004
+3.35634067034E+007, +8.69797338690E-002, -1.95531791677E-004
+3.38135067534E+007, +8.80135441297E-002, -1.42350360667E-003
+3.40636068034E+007, +8.91096359947E-002, -2.42260997661E-003
+3.43137068534E+007, +9.01674301480E-002, -3.49554392890E-003
+3.45638069035E+007, +9.12556866210E-002, -4.77023128121E-003
+3.48139069535E+007, +9.24326688667E-002, -5.78207859830E-003
+3.50640070035E+007, +9.35022971272E-002, -7.15437720423E-003
+3.53141070535E+007, +9.45750052526E-002, -8.38542238391E-003
+3.55642071036E+007, +9.56314997211E-002, -9.76828472220E-003
+3.58143071536E+007, +9.67729477172E-002, -1.10609581570E-002
+3.60644072036E+007, +9.78075835627E-002, -1.23211469944E-002
+3.63145072536E+007, +9.89700056448E-002, -1.38195805861E-002
+3.65646073037E+007, +9.99684480774E-002, -1.53140510223E-002
+3.68147073537E+007, +1.01144181637E-001, -1.68212398075E-002
+3.70648074037E+007, +1.02089671127E-001, -1.82666519227E-002
+3.73149074537E+007, +1.03360048190E-001, -1.97945997782E-002
+3.75650075038E+007, +1.04410526577E-001, -2.14538892081E-002
+3.78151075538E+007, +1.05508410002E-001, -2.29427268206E-002
+3.80652076038E+007, +1.06559960098E-001, -2.46593489463E-002
+3.83153076538E+007, +1.07711504443E-001, -2.63552440236E-002
+3.85654077039E+007, +1.08744961455E-001, -2.81994675084E-002
+3.88155077539E+007, +1.09879490966E-001, -2.98946982479E-002
+3.90656078039E+007, +1.10970407787E-001, -3.17547205109E-002
+3.93157078539E+007, +1.12102744319E-001, -3.36215129947E-002
