"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.02575243497E-002, -3.01779427562E-003
+3.00100050025E+005, -5.84780818170E-005, +3.76121383594E-004
+5.50200100050E+005, +5.65051317123E-004, +1.16209906711E-003
+8.00300150075E+005, +6.01000918856E-005, +1.47165193787E-003
+1.05040020010E+006, +4.44862706327E-004, +1.88694835574E-003
+1.30050025013E+006, -3.79275883287E-004, +2.64261181075E-003
+1.55060030015E+006, +4.63977283277E-004, +2.98400797081E-003
+1.80070035018E+006, +3.38991381143E-004, +3.38277798142E-003
+2.05080040020E+006, +2.18630182461E-004, +3.99233073420E-003
+2.30090045023E+006, +2.64517567980E-004, +4.54280106800E-003
+2.55100050025E+006, +6.53352629944E-004, +5.39713229180E-003
+2.80110055028E+006, +1.23600293128E-003, +5.32183417641E-003
+3.05120060030E+006, +9.07855532923E-004, +5.61707103533E-003
+3.30130065033E+006, +1.12207099921E-003, +6.30461186034E-003
+3.55140070035E+006, +1.17341623607E-003, +7.19180137799E-003
+3.80150075038E+006, +1.54156180361E-003, +7.62392718525E-003
+4.05160080040E+006, +1.40615103625E-003, +7.73251717464E-003
+4.30170085043E+006, +1.37926890214E-003, +8.74984062838E-003
+4.55180090045E+006, +1.93289931366E-003, +9.32110413000E-003
+4.80190095048E+006, +2.58651910094E-003, +9.37487974528E-003
+5.05200100050E+006, +2.68826463048E-003, +9.97240440093E-003
+5.30210105053E+006, +3.03971690118E-003, +1.07115086830E-002
+5.55220110055E+006, +2.68664965261E-003, +1.07540521826E-002
+5.80230115058E+006, +3.34384631928E-003, +1.11250810939E-002
+6.05240120060E+006, +3.42037454874E-003, +1.16080937558E-002
+6.30250125063E+006, +3.78986760824E-003, +1.21659189900E-002
+6.55260130065E+006, +4.21179463062E-003, +1.26488941388E-002
+6.80270135068E+006, +4.53165251293E-003, +1.32989194143E-002
+7.05280140070E+006, +4.91030104745E-003, +1.33862270526E-002
+7.30290145073E+006, +5.07960673646E-003, +1.42299917487E-002
+7.55300150075E+006, +5.34080370901E-003, +1.45790666893E-002
+7.80310155078E+006, +5.83095890584E-003, +1.42712559545E-002
+8.05320160080E+006, +5.98565142546E-003, +1.50982850750E-002
+8.30330165083E+006, +6.56348983672E-003, +1.56714950819E-002
+8.55340170085E+006, +6.84182360076E-003, +1.59476045155E-002
+8.80350175088E+006, +7.11803083391E-003, +1.63946331453E-002
+9.05360180090E+006, +7.54963438086E-003, +1.69284436048E-002
+9.30370185093E+006, +8.04492557730E-003, +1.71904187144E-002
+9.55380190095E+006, +8.38606713396E-003, +1.75419355896E-002
+9.80390195098E+006, +8.86835697216E-003, +1.80242617354E-002
+1.00540020010E+007, +9.19980120009E-003, +1.84251052887E-002
