"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.38095047524E+007, +5.48746675208E+001, +2.33276597656E+000
+2.40596048024E+007, +5.49660361129E+001, +2.31148450167E+000
+2.43097048524E+007, +5.50690965410E+001, +2.28914088536E+000
+2.45598049025E+007, +5.51672295622E+001, +2.25361376856E+000
+2.48099049525E+007, +5.52614298246E+001, +2.21541137566E+000
+2.50600050025E+007, +5.53662029149E+001, +2.18356700700E+000
+2.53101050525E+007, +5.54685239269E+001, +2.15074935520E+000
+2.55602051026E+007, +5.55742291356E+001, +2.11197695729E+000
+2.58103051526E+007, +5.56737868538E+001, +2.07400359999E+000
+2.60604052026E+007, +5.57648341524E+001, +2.04167532114E+000
+2.63105052526E+007, +5.58815063065E+001, +1.99936392267E+000
+2.65606053027E+007, +5.59835234654E+001, +1.94162113540E+000
+2.68107053527E+007, +5.60916498000E+001, +1.90156338524E+000
+2.70608054027E+007, +5.61901146241E+001, +1.84379830246E+000
+2.73109054527E+007, +5.63098324807E+001, +1.78902139285E+000
+2.75610055028E+007, +5.64061064148E+001, +1.75557407180E+000
+2.78111055528E+007, +5.65269963275E+001, +1.69202996259E+000
+2.80612056028E+007, +5.66329086473E+001, +1.61343301682E+000
+2.83113056528E+007, +5.67354261965E+001, +1.55885745866E+000
+2.85614057029E+007, +5.68426853739E+001, +1.49484973908E+000
+2.88115057529E+007, +5.69506742503E+001, +1.42440483980E+000
+2.90616058029E+007, +5.70697091337E+001, +1.34969022553E+000
+2.93117058529E+007, +5.71811817971E+001, +1.29582892241E+000
+2.95618059030E+007, +5.72912665888E+001, +1.20154947288E+000
+2.98119059530E+007, +5.74086419638E+001, +1.14582310272E+000
+3.00620060030E+007, +5.75254369083E+001, +1.05361479975E+000
+3.03121060530E+007, +5.76412791081E+001, +9.58941502389E-001
+3.05622061031E+007, +5.77456075662E+001, +8.90533876848E-001
+3.08123061531E+007, +5.78729314287E+001, +7.87399179436E-001
+3.10624062031E+007, +5.79867993706E+001, +6.96247302687E-001
+3.13125062531E+007, +5.80965641653E+001, +5.90935591932E-001
+3.15626063032E+007, +5.82080322841E+001, +5.11030758201E-001
+3.18127063532E+007, +5.83235784377E+001, +4.05770532308E-001
+3.20628064032E+007, +5.84572622392E+001, +2.94990011348E-001
+3.23129064532E+007, +5.85572837297E+001, +1.79844760003E-001
+3.25630065033E+007, +5.86846998875E+001, +6.74557732837E-002
+3.28131065533E+007, +5.87961728138E+001, -4.52944978612E-002
+3.30632066033E+007, +5.89171439002E+001, -1.64139960437E-001
+3.33133066533E+007, +5.90368276353E+001, -2.80566546588E-001
+3.35634067034E+007, +5.91425833889E+001, -4.15534416111E-001
+3.38135067534E+007, +5.92680197040E+001, -5.46137849759E-001
+3.40636068034E+007, +5.93810358317E+001, -6.71388693158E-001
+3.43137068534E+007, +5.95035505620E+001, -8.14906129444E-001
+3.45638069035E+007, +5.96126315582E+001, -9.50852682844E-001
+3.48139069535E+007, +5.97331107801E+001, -1.10686491032E+000
+3.50640070035E+007, +5.98509775711E+001, -1.26296946785E+000
+3.53141070535E+007, +5.99645942936E+001, -1.40743247901E+000
+3.55642071036E+007, +6.00823836650E+001, -1.57720717275E+000
+3.58143071536E+007, +6.01924649423E+001, -1.74347282499E+000
+3.60644072036E+007, +6.03148263032E+001, -1.90888240331E+000
+3.63145072536E+007, +6.04341441906E+001, -2.08284741360E+000
+3.65646073037E+007, +6.05467434818E+001, -2.25527216264E+000
+3.68147073537E+007, +6.06570698538E+001, -2.44010868728E+000
+3.70648074037E+007, +6.07597669811E+001, -2.63029120482E+000
+3.73149074537E+007, +6.08773605234E+001, -2.81350809314E+000
+3.75650075038E+007, +6.09867436064E+001, -3.02442759869E+000
+3.78151075538E+007, +6.11108569712E+001, -3.23617774029E+000
+3.80652076038E+007, +6.12120584528E+001, -3.43977404592E+000
+3.83153076538E+007, +6.13173764434E+001, -3.66478943384E+000
+3.85654077039E+007, +6.14195980878E+001, -3.87362902823E+000
+3.88155077539E+007, +6.15284631736E+001, -4.10361748933E+000
+3.90656078039E+007, +6.16249836773E+001, -4.34246937049E+000
+3.93157078539E+007, +6.17377922205E+001, -4.57978990243E+000
+3.95658079040E+007, +6.18283347956E+001, -4.82251436621E+000
+3.98159079540E+007, +6.19227359208E+001, -5.07814118434E+000
+4.00660080040E+007, +6.20406573757E+001, -5.34315581479E+000
+4.03161080540E+007, +6.21271506023E+001, -5.61244856230E+000
+4.05662081041E+007, +6.22137518797E+001, -5.88903819552E+000
+4.08163081541E+007, +6.23056100447E+001, -6.16683368690E+000
+4.10664082041E+007, +6.23741034740E+001, -6.45851494774E+000
+4.13165082541E+007, +6.24647176988E+001, -6.75975637908E+000
+4.15666083042E+007, +6.25433929941E+001, -7.06845225116E+000
+4.18167083542E+007, +6.26326821003E+001, -7.37169141206E+000
+4.20668084042E+007, +6.26889355371E+001, -7.70069473978E+000
+4.23169084542E+007, +6.27701025640E+001, -8.02912995591E+000
+4.25670085043E+007, +6.28230980350E+001, -8.37640405212E+000
+4.28171085543E+007, +6.28967140642E+001, -8.73504959697E+000
+4.30672086043E+007, +6.29456776848E+001, -9.08683085497E+000
+4.33173086543E+007, +6.29949459846E+001, -9.46196587216E+000
+4.35674087044E+007, +6.30332974996E+001, -9.84305853715E+000
+4.38175087544E+007, +6.30728904496E+001, -1.02235360077E+001
+4.40676088044E+007, +6.30999198620E+001, -1.06304579984E+001
+4.43177088544E+007, +6.31275891054E+001, -1.10536692363E+001
+4.45678089045E+007, +6.31280140375E+001, -1.14796379796E+001
+4.48179089545E+007, +6.31581773824E+001, -1.18964227257E+001
+4.50680090045E+007, +6.31498066792E+001, -1.23513298583E+001
+4.53181090545E+007, +6.31467529309E+001, -1.28006376636E+001
+4.55682091046E+007, +6.31266100113E+001, -1.32740344154E+001
+4.58183091546E+007, +6.31036843212E+001, -1.37723518872E+001
+4.60684092046E+007, +6.30540879069E+001, -1.42695696581E+001
+4.63185092546E+007, +6.30101296330E+001, -1.47793235859E+001
+4.65686093047E+007, +6.29337106150E+001, -1.53062157218E+001
+4.68187093547E+007, +6.28575401797E+001, -1.58490594879E+001
+4.70688094047E+007, +6.27562784109E+001, -1.63994878632E+001
+4.73189094547E+007, +6.26562971317E+001, -1.69639178404E+001
+4.75690095048E+007, +6.25291409151E+001, -1.75606211712E+001
+4.78191095548E+007, +6.23699565713E+001, -1.81715517709E+001
+4.80692096048E+007, +6.22203440541E+001, -1.87872119426E+001
+4.83193096548E+007, +6.20183359136E+001, -1.94179224849E+001
+4.85694097049E+007, +6.18081800541E+001, -2.00792404400E+001
+4.88195097549E+007, +6.15630075806E+001, -2.07438486310E+001
+4.90696098049E+007, +6.12999851250E+001, -2.14261359216E+001
+4.93197098549E+007, +6.10118032516E+001, -2.21364354482E+001
+4.95698099050E+007, +6.06881243230E+001, -2.28609190558E+001
+4.98199099550E+007, +6.03140603674E+001, -2.35802059259E+001
+5.00700100050E+007, +5.99160102374E+001, -2.43219422094E+001
+5.03201100550E+007, +5.94873282426E+001, -2.51063295401E+001
+5.05702101051E+007, +5.90118941076E+001, -2.58784103473E+001
+5.08203101551E+007, +5.84812101661E+001, -2.66754670645E+001
+5.10704102051E+007, +5.78980075803E+001, -2.74906807933E+001
+5.13205102551E+007, +5.72675916868E+001, -2.83063397508E+001
+5.15706103052E+007, +5.65690582585E+001, -2.91306923791E+001
